node1,node2,relation
BP,Compound,ANALYZES
BP,SpecialRequirements,HAS
BP,Instrumentation,USES
BP,Supplies,USES
BP,BiologicalMatrix,USES
BP,Reagents,USES
BP,Solutions,USES
BP,StandardPreparation,USES
BP,QCPreparation,USES
BP,ISPreparation,USES
BP,ExtractionMethod,USES
BP,LLOQ,USES
BP,Chromatography,USES
BP,Procedure,USES
BP,OperatingParameters,USES
Instrumentation,MassSpectrometer,USES
Supplier,MassSpectrometer,SUPPLIES
Instrumentation,LC,USES
Supplier,LC,SUPPLIES
LC,LCComponent,HAS_A
Instrumentation,LiquidHandling,USES
Supplier,LiquidHandling,SUPPLIES
Supplies,GeneralSupply,HAS_A
Supplies,EquipmentSupply,HAS_A
Supplies,PipetteSupply,HAS_A
Supplies,AutomationSupply,HAS_A
GeneralSupply,Item,CONTAINS
EquipmentSupply,Item,CONTAINS
PipetteSupply,Item,CONTAINS
AutomationSupply,Item,CONTAINS
Supplier,Item,SUPPLIES
Compound,Compound,IS_INTERNAL_STANDARD_OF
Supplier,BiologicalMatrix,SUPPLIES
Reagents,Reagent,CONTAINS
Supplier,Reagent,SUPPLIES
Solutions,Solution,CONTAINS
StandardPreparation,StockStandardSolution,HAS_A
StandardPreparation,WorkingStandardSolution,HAS_A
QCPreparation,StockQCSolution,HAS_A
QCPreparation,WorkingQCSolution,HAS_A
QCPreparation,MatrixQCs,HAS_A
ISPreparation,StockISSolution,HAS_A
ISPreparation,WorkingISSolution,HAS_A
OperatingParameters,WashParameters,HAS_A
OperatingParameters,UPLCParameters,HAS_A
OperatingParameters,UPLCProfile,HAS_A
OperatingParameters,MSParameters,HAS_A
OperatingParameters,IonsMonitored,HAS_A
BP,MixedIntermediateQCSolution,USES
BP,MixedIntermediateStandardSolution,USES
BP,CalculationParameters,USES
BP,MatrixQCs,USES
BP,WorkingQCSolution,USES
BP,SystemSuitability,USES
